Soil Colour,Ph,Crop type,Soil Moisture,Temperature,Air Humidity
Reddish gray,5.53,Barley,972.5860807,28.88158855,77.49552925
black,5.3,Barley,625.3781277,36.28921986,70.51736779
red,5.64,Barley,723.5181698,37.73960514,77.32795275
gray,6.75,Barley,557.156998,37.58065491,44.17612445
black,5.75,Barley,756.9882074,26.57489179,42.06367334
darkbrown,6,Barley,836.9893805,30.97364476,78.23391407
Redish brown,5.95,Barley,582.0687349,20.56784751,48.02534097
brown,5.41,Barley,911.7286463,27.41784152,52.71555125
brown,5.9,Barley,706.9059611,32.10803269,65.76854534
brown,5.47,Barley,932.2902582,19.62073242,71.92000363
black,5.79,Barley,641.3743433,28.19932981,52.72026473
red,6.1,Barley,755.149757,19.55502617,70.2242948
black,5.41,Barley,610.1538495,31.98781797,75.48149285
Redish brown,5.3,Barley,510.6256273,33.48002515,42.29105088
gray,5.14,Barley,340.6481736,19.12130224,41.90681788
brown,5.61,Barley,463.3468855,36.3426164,48.32681051
brown,5.99,Barley,763.4836129,38.62305068,42.58714579
brown,5.58,Barley,447.9522593,21.24906597,55.25218109
black,5.48,Barley,419.1618849,31.75767614,60.7695804
Dark brown,5.2,Barley,466.8534619,28.3090488,77.69331312
black,5.65,Barley,430.3409202,19.03325563,72.64587849
black,5.71,Barley,411.0258824,28.69651794,52.68139078
black,5.54,Barley,376.8159253,34.3335776,79.16806373
brown,5.5,Barley,474.9414563,26.06121777,65.19703963
Reddish gray,5.59,Barley,931.2166581,37.31260682,64.1780947
black,5.3,Barley,502.0771967,27.30277475,72.48243227
Dark brown,5.92,Barley,876.6986199,33.84527375,48.88833906
brown,5.54,Barley,730.7983229,21.96236733,70.66994998
black,5.66,Barley,743.533748,27.95102439,66.91957896
brown,5.34,Barley,784.3275212,20.31032068,61.36242226
brown,5.37,Barley,572.6359758,29.47721139,61.07487417
brown,5.28,Barley,699.4168861,37.0110057,71.61838209
red,5.8,Barley,519.7448901,24.88372851,66.14902746
black,5.74,Barley,941.9526775,24.85574395,60.22665006
brown,5.72,Barley,851.8605542,23.87928663,79.09572054
red,6.05,Barley,602.4404926,38.43845355,69.31925453
red,5.97,Barley,676.8233332,38.98375275,48.98221872
brown,5.43,Barley,691.1002766,21.59014837,59.86100468
red,5.83,Barley,649.1586643,28.89722677,72.63972044
red,5.48,Barley,721.8148154,35.24369834,54.50933381
black,5.97,Barley,533.7241018,29.2695669,60.31395542
black,5.93,Barley,977.4477583,20.15028243,50.87311044
Grayish brown,5.41,Barley,335.7729138,37.76078676,42.93327343
brown,5.35,Barley,510.7812676,21.44926502,61.91337371
red,5.8,Barley,975.7451713,25.93914854,45.85930493
black,5.87,Barley,479.5791021,32.73590714,48.09233533
brown,5.75,Barley,459.3091915,28.64688311,38.79075255
brown,6.4,Barley,622.4469442,21.17060744,57.89514171
brown,5.9,Barley,487.8721177,36.90276604,64.55613427
brown,5.25,Barley,888.6196191,34.09282126,67.59127863
brown,5.68,Barley,397.4314266,28.14159872,70.59726873
red,6.05,Barley,667.8889555,34.43222847,58.10239248
brown,5.92,Barley,709.3983578,23.73334374,66.27881754
brown,5.45,Barley,882.3715166,38.62075263,38.85305738
brown,5.73,Barley,981.7841172,20.77267631,54.9587865
black,5.63,Barley,511.9809734,23.81252476,43.53032638
brown,6.49,Barley,660.3365648,31.48302944,59.44479937
brown,6.15,Barley,750.1707403,32.01421487,56.57617393
brown,5.7,Barley,940.1995842,38.29929024,57.72419082
black,5.75,Barley,369.8980818,26.72492867,76.46813156
black,5.75,Barley,899.4106889,34.59359525,63.29160206
gray,5.34,Barley,690.2098359,37.01726989,40.303152
red,5.7,Barley,583.4102308,32.50128001,66.13008074
brown,5.3,Barley,340.2268032,36.95236905,61.7302681
black,5.3,Barley,971.6879052,37.40455316,70.60308703
brown,5.3,Barley,658.8075073,18.39314952,73.33170117
brown,5.3,Barley,768.9803799,38.32882286,41.2526544
brown,5.3,Barley,450.553998,36.83133191,71.52150595
brown,5.3,Barley,845.6365296,32.74163727,70.13592877
Red brown,5.4,Barley,971.02305,29.69820284,39.69339358
brown,5.4,Barley,646.2945361,22.06537271,79.81485839
red,5.4,Barley,941.3723198,32.4772021,70.34219447
brown,6.4,Barley,931.7347173,23.70042927,51.19909658
other,6.4,Barley,853.1525517,35.75297115,61.43612074
red,5.4,Barley,815.8048516,26.50090955,69.8118863
Brown,5.8,Barley,314.5110162,33.59498799,71.55487495
red,5.3,Barley,326.9246013,23.20531605,69.84782071
brown,5.3,Barley,317.0477946,20.57919098,45.57045455
brown,5.3,Barley,538.8714092,30.87930817,53.51187938
brown,5.3,Barley,603.1985948,27.57094964,44.28187623
brown,5.3,Barley,601.8775081,33.46038092,81.26740715
brown,5.3,Barley,936.2918345,31.56900143,74.51425823
brown,5.3,Barley,776.1083581,25.21726357,43.86851446
brown,6,Barley,487.3414107,25.28693515,54.68116237
black,6.4,Barley,387.8460711,20.02291105,46.04152574
red,6.1,Barley,961.0185752,20.1466308,80.1029758
black,6.1,Barley,968.3064212,21.62493783,58.41349063
brown,5.45,Barley,953.3472039,19.96646722,76.25676716
red,5.1,Barley,525.8158836,19.90370961,77.89804196
brown,5.2,Barley,875.2291588,30.78703296,48.30740647
gray,5.7,Barley,700.0782097,21.14581903,44.554376
red,5.7,Barley,775.4065809,24.04732436,73.41661446
brown,5.4,Barley,498.0949469,32.77765962,54.68038381
black,6.2,Barley,502.6509058,21.83575819,38.76723376
brown,5.8,Barley,583.453298,30.37214672,38.69525471
red,5.4,Barley,916.5955197,29.82178446,74.59444184
brown,6.2,Barley,584.6279417,25.02030431,53.68977186
other,5.8,Barley,732.1867243,30.69075287,49.88830091
gray,5.7,Barley,744.7648632,25.888154,77.83079457
brown,5.7,Barley,328.3617978,31.29363922,58.7362663
brown,5.8,Barley,907.9553649,20.19811065,42.37221302
brown,6,Barley,596.6268785,21.95947665,53.09095552
gray,5.4,Barley,647.815273,20.52524238,39.82211644
red,5.72,Barley,525.6421453,35.13893199,53.73724157
red,5.6,Barley,913.4611539,23.61996582,58.31014591
red,5.04,Barley,549.4444564,27.98793106,75.64187376
red,5.69,Barley,925.4460291,21.09114645,57.3407776
brown,5.69,Barley,809.6380006,30.17273369,70.19543203
other,5.67,Barley,700.2228324,19.65435171,53.83813867
brown,5.69,Barley,444.7419024,32.32824783,52.84641391
red,5.78,Barley,591.7704172,25.32425607,72.96533491
other,5.67,Barley,375.5391579,20.89732904,41.66124511
brown,6.48,Barley,499.9039972,32.82058782,67.90740174
black,7,Barley,350.7498246,24.7932803,47.29524282
brown,5.51,Barley,516.0959755,22.90275255,62.95637252
other,5.67,Barley,711.2870605,33.00537469,75.49172108
black,7,Barley,750.2619903,29.7862007,73.90159317
red,5.7,Barley,850.7213582,28.36371128,65.17645312
gray,5.37,Barley,775.4189213,28.76767419,55.52940988
red,5.67,Barley,829.2390953,25.18794099,42.38415751
red,5,Barley,859.3998765,25.59238842,43.45129763
gray,5.37,Barley,540.8247005,20.34959659,72.13734976
black,5.67,Barley,713.5948282,23.97497287,46.0204047
brown,5.2,Barley,477.5211014,21.05278888,67.10195475
brown,5.67,Barley,664.62704,26.31763165,42.5794163
brown,5.67,Barley,658.7575893,22.86411147,58.67516189
black,5.2,Barley,560.1368757,29.51032647,79.75665544
brown,5.67,Barley,854.2611814,37.3878475,53.65013921
brown,5.2,Barley,970.3550923,37.7600683,50.23740098
black,5.67,Barley,795.678058,25.28291315,75.69513723
red,6,Barley,400.6241727,21.05360584,61.23333244
reddish brown,5.84,Barley,478.1030409,29.56103915,43.79085936
brown,5.6,Barley,688.2043706,25.7703769,73.92037316
reddish brown,5.38,Barley,347.9880239,34.12205639,60.50837005
red,5.1,Barley,515.549803,22.51021124,63.80556755
black,6.5,Barley,433.6503126,34.03259122,54.10872441
reddish brown,4.99,Barley,707.6423586,38.08855045,64.59754627
red,4.77,Barley,418.5890937,28.092736,52.22665191
black,6.33,Barley,964.6941636,35.49308122,42.98836862
reddish brown,4.87,Barley,346.0072383,38.74010263,40.42691826
black,7.3,Barley,536.6965723,18.04562376,69.49223436
black,7.93,Barley,626.4433253,18.7885571,75.30520844
red,5.1,Barley,802.9147537,22.59559292,40.63851895
brown,5.7,Barley,394.8078072,33.05202452,63.483429
dark brown,5.22,Barley,706.6801657,21.03142206,81.0624899
reddish brown,5.24,Barley,474.0306089,37.05338508,68.59722314
black,8.5,Barley,566.2980198,37.29350844,70.03476391
reddish brown,5.23,Barley,654.4342225,25.96981321,67.4054608
very dark brown,6.24,Barley,556.7583466,21.77420939,77.16772892
brown,7.2,Barley,745.3244493,19.10501023,63.80477998
red,6.2,Barley,777.7898994,23.62544552,63.05003005
red,5.4,Barley,899.0348564,22.76031482,48.2711668
red,6.2,Barley,699.3081603,21.90009999,72.92386873
brown,5.47,Barley,323.8603118,37.03614625,42.74534302
red,4.8,Barley,951.0137354,35.20084125,45.67611975
black,7.3,Barley,810.5694342,32.28461613,56.27765434
red,5.2,Barley,576.6421448,28.93410596,41.43890154
red,5.1,Barley,952.4619199,37.47040537,51.12904756
red,5.67,Barley,603.3552253,37.7429928,39.53782934
brown,6.4,Barley,691.5138807,36.15828165,69.67124858
brown,5.78,Barley,314.8306485,27.97933696,62.35873129
other,5.78,Barley,874.0548841,21.06581973,53.92178816
black,7,Barley,801.0478617,35.70978452,72.84550331
red,5.04,Barley,455.2842278,32.33313773,68.55599403
red,5.69,Barley,438.4273184,27.15720864,69.27381179
brown,5.67,Barley,545.9472475,24.64555541,76.09591583
brown,5.67,Barley,591.8485728,37.3562437,79.46932094
red,5.04,Barley,385.1969923,38.6600172,73.60851221
brown,8.1,Barley,682.278218,28.92008812,52.11539667
black,5.67,Barley,786.1124603,19.34344335,80.55336687
black,5.67,Barley,732.2515907,23.23969115,52.90227943
brown,5.67,Barley,954.4160163,22.75061775,64.1561389
brown,6.3,Barley,400.3056792,30.94334925,76.71180447
black,5.3,Barley,550.5436597,26.78647556,46.03085039
very dark brown,6.98,Barley,950.3219321,24.94407796,52.00382716
brown,5.4,Barley,900.5903422,21.77951708,62.41328463
brown,5.6,Barley,595.1944838,33.88432762,78.86009641
red,5.2,Barley,767.541771,38.00055277,58.95708995
black,5.67,Barley,617.4804099,21.22292547,49.53367285
black,5.67,Barley,743.8156669,34.85652452,53.26276815
red,5.6,Barley,678.2163406,28.01313321,58.22029426
other,6,Barley,922.4233099,23.58289149,39.22574001
brown,6.5,Barley,548.7078119,25.90978881,43.39140052
black,5.8,Barley,643.680569,24.81508818,51.85650627
brown,6.47,Barley,783.105208,19.58978838,66.36868278
dark reddish brown,6.3,Barley,612.2345221,34.97003219,41.4853933
brown,6.4,Barley,680.6630939,31.08826754,73.96810956
red,5.4,Barley,438.8704127,34.56218172,55.89046785
black,5.3,Barley,846.5366967,18.45160356,58.90983537
very dark brown,6.95,Barley,315.0687518,35.00805429,67.80622545
brown,5.2,Barley,352.1838214,24.42529874,48.60243681
red,5.6,Barley,944.4580077,34.66289723,39.05143443
brown,7.2,Barley,498.8830547,28.94137254,64.14341877
red,5.7,Barley,320.3407851,31.68462827,70.65105297
black,7.45,Barley,627.1491434,34.44553299,46.85157527
brown,6.3,Barley,818.4240494,21.05036779,39.15056198
brown,6,Barley,491.5146171,38.64525079,65.09017888
red,6,Barley,396.8247143,25.06028839,71.29580483
red,5.86,Barley,753.4293625,34.78510786,55.21350843
brown,5.6,Barley,629.0880023,30.62484714,76.69472676
brown,5.4,Barley,472.4148053,25.34217794,42.43423806
brown,5.7,Barley,422.9271637,34.94844096,46.68273708
brown,6.1,Barley,920.3563143,26.11007528,68.80425056
gray,6,Barley,396.1873216,34.24618538,70.39869471
brown,5.6,Barley,513.7249077,18.62049571,45.19446313
black,5.78,Barley,480.5654407,20.68289473,44.33889236
black,7.53,Barley,839.8127319,25.29110443,62.95370189
black,5.4,Barley,443.6530976,27.24063361,39.04218351
red,5.8,Barley,720.4648464,36.08807704,81.25275284
red,6.1,Barley,591.5367559,29.32185133,38.62366615
black,7.53,Barley,803.9366874,20.09083503,69.96912367
red,5.75,Barley,803.6978356,26.25967073,39.02872896
brown,5.8,Barley,844.9427376,25.12842393,78.17095604
brown,5.8,Barley,439.9940878,22.84876622,54.20839443
brown,6.1,Barley,870.4558609,25.46312651,65.96604603
brown,6.95,Barley,467.4725687,25.40140352,73.03983178
brown,5.8,Barley,776.0257868,27.21937541,45.90056323
red,6.2,Barley,580.8616965,33.10112369,45.67730177
Red,5.8,Barley,984.177495,37.28073676,79.15735017
Grayish Brown,5.8,Barley,484.747617,24.54923461,73.57998875
brown,5.8,Barley,612.731316,38.30106906,40.35068229
brown,5.8,Barley,637.8018802,37.8195853,70.85097646
red,5.8,Barley,827.4999962,29.81101635,38.8661281
black,5.4,Barley,960.2863964,30.52903301,79.903196
brown,5.8,Barley,952.5404898,30.11833525,77.59880016
black,5.4,Barley,732.4813806,34.81907373,43.09319288
black,5.4,Barley,717.6937348,24.13886404,48.92517527
brown,5.86,Barley,622.636939,28.20253893,67.51298597
brown,7.7,Barley,472.3562802,27.40750908,77.92590076
black,7.1,Barley,516.4788063,22.0667502,46.52886097
brown,5.4,Barley,489.694382,30.04449357,80.63023241
black,7.7,Barley,931.4820084,21.73983164,38.29166808
brown,5.8,Barley,768.6082338,29.03830794,76.74970929
brown,5.8,Barley,591.3579467,25.536238,62.90982634
brown,5.8,Barley,406.0014434,36.17255827,56.40920628
brown,5.3,Barley,970.1057219,19.84691837,69.92417688
brown,5.4,Barley,820.9757999,19.57319679,42.86866478
black,5.98,Barley,413.8153826,21.6781965,76.95323731
gray,5.98,Barley,632.233656,23.88780146,45.23588435
black,7.7,Barley,745.1945798,31.10317827,43.16950969
brown,5.3,Barley,768.5427327,29.76043996,71.17944254
brown,5.3,Barley,340.1917219,28.01483927,78.3721853
red,5.75,Barley,954.3504479,23.75044919,73.54626134
black,6.5,Barley,910.2128794,30.36600999,43.2572783
brown,5.8,Barley,982.0529366,37.32422617,72.92041943
brown,5.98,Barley,502.8338906,21.58123623,55.8568377
brown,5.98,Barley,917.4931595,23.06153037,42.66778546
gray,6.58,Barley,335.346961,28.44902869,39.504915
brown,7.1,Barley,646.240886,21.36529747,53.66568181
brown,5.8,Barley,953.3265446,24.85938228,39.35000841
red,5.09,Barley,467.1645847,28.1304323,71.87059266
red,5.56,Barley,617.0574443,28.15343986,55.54104585
brown,5.98,Barley,843.2137374,27.89910931,46.21754781
other,7.1,Barley,626.8416068,20.36099588,53.03179025
red,5.3,Barley,436.420616,26.93680757,40.22559701
red,5.8,Barley,353.0036516,34.72321388,44.42303498
brown,5.3,Barley,448.9210151,36.27439013,60.54049124
brown,6,Barley,575.8246037,22.83539244,47.55073016
black,4.7,Barley,862.0829708,26.00784015,58.12462164
brown,5.3,Barley,835.5262897,22.59322997,63.13648497
black,6.48,Barley,918.0926036,34.44929749,70.28475545
brown,5.2,Barley,371.4096402,26.57203514,59.46495826
brown,5.8,Barley,594.7727141,30.04343366,54.76592841
brown,6.63,Barley,502.4192963,24.9617897,43.81799127
brown,5.3,Barley,900.0608184,35.11111829,67.32314988
red,5.3,Barley,871.6862324,28.61179163,78.32114465
brown,6.33,Barley,705.8785979,38.84395622,42.16186924
gray,5.7,Barley,812.8163182,33.31756932,66.38175876
brown,5.4,Barley,431.0813607,30.80433448,71.2069125
brown,5.8,Barley,670.2607412,20.35116486,46.97948873
brown,5.8,Barley,884.4500056,32.9784717,66.1443331
black,5.54,Barley,548.2942007,33.23731968,47.22353265
black,8,Barley,413.4421956,30.87874237,43.38539929
red,5.4,Barley,786.8011496,36.16843671,62.85887501
brown,5.8,Barley,754.2779219,25.91637957,43.35571559
brown,5.8,Barley,805.0151715,20.22050148,76.04881326
brown,5.8,Barley,640.1042214,38.23912474,58.38012305
brown,5.4,Barley,698.3912156,21.19904137,77.79926767
brown,5.4,Barley,831.5097276,24.86785461,45.0416189
red,5.1,Barley,918.6044897,37.69139443,49.77786395
gray,5.8,Barley,394.9206133,22.91570594,62.37813802
red,5.4,Barley,338.9192405,23.25463649,40.81264793
red,5.4,Barley,847.7095883,18.81566942,41.1710621
red,5.4,Barley,956.4178092,28.09736731,62.12873366
brown,5.8,Barley,445.1059596,28.36327999,74.64132024
red,5.4,Barley,414.42393,24.92426424,77.96384798
red,6,Barley,537.7852107,28.05777885,67.38825919
brown,5.8,Barley,820.4306482,22.34839496,43.57907194
brown,5.72,Barley,715.3101417,34.40309337,42.53055423
brown,6.1,Barley,888.8947055,21.86492988,75.00202916
red,5.1,Barley,415.5595049,19.40220642,81.00867517
red,5.8,Barley,327.568788,35.43919959,65.91462083
brown,5.85,Barley,499.7401757,24.49442632,72.16404542
black,6,Barley,898.5554216,28.81186087,78.64252082
brown,5.4,Barley,795.8522761,20.15140322,39.18421171
brown,5.87,Barley,537.670384,24.64131032,57.13450433
black,5.85,Barley,407.2511016,22.35436314,39.09841951
brown,5.8,Barley,782.6377895,26.60654188,58.19144948
brown,5.8,Barley,679.6052505,29.32708738,53.81771787
brown,5.85,Barley,668.0506646,24.55747789,48.11375794
black,5.8,Barley,815.6572895,32.77953595,54.91967854
brown,5.8,Barley,867.4053279,36.46921183,59.79386426
red,6.4,Barley,891.0547276,20.29009658,44.2838586
brown,6.4,Barley,559.7621657,18.53019064,78.16440849
brown,6.4,Barley,834.2239138,27.46324246,53.03971003
brown,6.4,Barley,732.7618468,28.19751304,52.17352557
red,6.11,Barley,624.5672426,26.07715885,64.22311969
brown,5.85,Barley,457.1252841,38.99276957,51.17163807
brown,5.8,Barley,371.7473063,26.12793092,50.5161481
brown,5.8,Barley,356.8972374,26.23397111,67.97755607
brown,5.91,Barley,444.9895453,26.51987971,61.74242461
brown,5.2,Barley,676.8666745,19.84993106,38.38359734
brown,5.61,Barley,666.2053415,24.45746477,65.82223707
gray,5.85,Barley,595.209673,31.5460751,62.43318087
black,5.8,Barley,682.4074539,26.55487622,52.27685703
brown,6.37,Barley,613.1324855,25.15093141,40.53539916
gray,5.58,Barley,693.2586806,19.24440366,69.94039473
brown,5.45,Barley,346.7220599,30.14880995,76.9855141
brown,5.45,Barley,629.4443263,32.90652728,38.82544451
brown,5.68,Barley,604.4545063,20.00700272,72.031064
brown,5.28,Barley,960.2631669,29.2605884,58.48992882
brown,5.2,Barley,625.1267353,36.31753572,57.29779336
brown,7.75,Barley,622.4788974,28.6403978,77.83656883
brown,5.75,Barley,482.1926291,38.10159934,64.73351041
red,5.78,Barley,473.9364675,36.13200848,77.87473608
brown,5.4,Barley,501.9243508,22.6017739,48.68205707
gray,6.5,Barley,580.1724019,24.10637738,64.75963108
other,5.68,Barley,467.3680592,29.78512136,54.10094859
brown,4.9,Barley,699.8725208,33.24415566,71.11914019
black,5.4,Barley,825.4780262,24.58548821,77.91166663
black,5.3,Barley,541.2447639,22.97600015,64.3056719
brown,5.1,Barley,517.7784592,20.15627798,60.32897602
brown,5.8,Barley,404.4113304,31.05469027,75.38852134
brown,5.6,Barley,548.0308517,22.74895478,81.00904267
red,5.1,Barley,916.0314823,33.05502689,65.67555505
red,5.4,Barley,944.930323,35.54655948,60.28069941
red,5,Barley,579.630127,27.05934195,39.86156831
brown,6.98,Barley,318.4070049,29.41618253,45.22584642
black,5.6,Barley,326.3505069,30.02525645,59.47810081
red,5.1,Barley,414.6357796,20.04961418,71.52226406
brown,5.7,Barley,732.4378223,22.15266556,58.39780898
brown,5,Barley,838.6247357,18.81609313,78.49030942
